Generation,Timestamp,AX,AY,AZ,lAX,lAY,lAZ,,Generation,Timestamp,Speed
1258,6:13:00,-0.33759275,0.7206767,10.951413,-1.3177869,-8.031149,6.674095,,95,6:14:25,16.12800007
1259,6:13:00,-0.2466103,1.6855695,9.703996,-1.2628064,-7.2063255,5.6610255,,,,
1260,6:13:00,0.2777359,1.2522057,10.326508,-0.63467795,-7.532691,6.0634813,,96,6:14:26,15.40800076
1261,6:13:00,-0.007182824,1.7789462,9.289786,-1.0172517,-7.303141,5.4888744,,,,
1262,6:13:00,-0.08619389,1.2546,10.41749,-0.9713747,-7.368914,5.8537545,,97,6:14:27,14.75999966
1263,6:13:00,-0.17238778,1.4341706,9.732727,-1.0565666,-7.6310043,6.316098,,,,
1264,6:13:01,-0.27055305,1.4652961,10.364816,-1.0416502,-7.2351294,5.645301,,98,6:14:28,12.24000034
1265,6:13:01,-0.08140534,1.3671309,9.653716,-0.8545291,-7.5844483,5.838851,,,,
1266,6:13:01,-0.45251793,1.2665714,9.352037,-1.1570005,-7.6492147,5.155518,,99,6:14:29,10.9079999
1267,6:13:01,-0.5913859,1.7286664,9.557945,-1.1289189,-7.3079805,5.172795,,,,
1268,6:13:01,-0.098165266,1.8292259,9.591465,-0.6893021,-7.032735,5.49047,,100,6:14:30,11.77199993
1269,6:13:01,-0.14605077,1.6400782,9.270632,-0.5519455,-7.2923226,5.294152,,,,
1270,6:13:01,0.7446195,1.5562786,10.920287,0.25390506,-7.324145,6.6567545,,101,6:14:31,10.33199959
1271,6:13:01,0.81165916,2.7725701,9.881172,0.58581924,-6.080821,5.756864,,,,
1272,6:13:01,0.56744313,1.594587,9.325701,0.057438422,-7.071688,4.8506484,,102,6:14:32,2.592000103
1273,6:13:01,0.6440599,0.818842,10.091868,0.1090467,-7.9030366,5.8901854,,,,
1274,6:13:02,0.10055954,1.3551595,9.110215,-0.26214582,-7.4480143,4.5404487,,103,6:14:33,5.867999983
1275,6:13:02,0.07901107,1.8316202,9.663293,-0.11991601,-7.070094,5.530176,,,,
1276,6:13:02,-0.016759925,1.5514901,10.362421,0.086962834,-7.039628,5.708667,,104,6:14:34,7.092000103
1277,6:13:02,-0.16041641,0.6560313,10.776631,0.043589793,-8.041719,6.2770257,,,,
1278,6:13:02,0.10774237,1.6664152,9.785401,0.37425467,-7.191522,5.5223985,,105,6:14:35,7.056000137
1279,6:13:02,-0.014365649,0.7853221,10.642551,0.3510509,-7.7115088,5.8927336,,,,
1280,6:13:02,0.15802214,0.51716334,9.792584,0.50420356,-8.132293,4.8176804,,106,6:14:36,8.064000034
1281,6:13:02,-0.13168511,0.6153286,10.125388,0.25632688,-8.151552,5.6784754,,,,
1282,6:13:02,-0.21069619,1.3096683,8.5882635,0.30880475,-7.5020227,4.1028347,,107,6:14:37,10.44000034
1283,6:13:02,-0.21548474,0.5506832,10.269045,0.43032807,-8.065165,5.4633064,,,,
1284,6:13:03,0.17957062,1.2210802,9.974549,0.89669895,-7.624044,5.7378745,,108,6:14:38,13.21200027
1285,6:13:03,0.27055305,1.2234744,10.472558,1.0671368,-7.2143235,5.9565306,,,,
1286,6:13:03,0.6081458,1.7430321,9.289786,1.6017234,-7.3073587,5.5678864,,109,6:14:39,10.33199959
1287,6:13:03,-0.39266106,0.9194015,11.624205,0.9632963,-7.5074553,6.515864,,,,
1288,6:13:03,0.15802214,2.2266755,10.228342,1.4690564,-6.8449945,6.1920376,,110,6:14:40,10.25999966
1289,6:13:03,-0.06943397,-0.4932206,11.090281,1.421479,-8.959089,6.3420324,,,,
1290,6:13:03,-1.3072741,0.12210801,9.677659,-0.15109873,-8.706847,5.556749,,111,6:14:41,10.87199993
1291,6:13:03,-1.3910737,0.89545876,8.504464,-0.13326856,-7.758616,4.013235,,,,
1292,6:13:03,-0.90024734,-0.38308397,10.826911,0.56370723,-9.153046,6.531401,,112,6:14:42,10.76400003
1293,6:13:03,0.16281068,0.6703969,10.008069,1.7436368,-8.175025,5.889735,,,,
1294,6:13:04,0.7637737,1.185166,9.909904,2.4275103,-7.818263,5.907387,,113,6:14:43,11.05199976
1295,6:13:04,0.50998056,1.9992194,9.27542,2.1905637,-6.7587423,5.462556,,,,
1296,6:13:04,-0.5027977,1.1372806,10.577906,1.5310895,-7.8034463,6.438848,,114,6:14:44,8.604000378
1297,6:13:04,0.26337022,2.360755,9.615408,2.2845583,-6.2701817,5.5124416,,,,
1298,6:13:04,0.5650489,0.98404694,11.119012,2.9498854,-7.6700807,7.2751665,,115,6:14:45,2.303999949
1299,6:13:04,0.090982445,1.228263,9.232324,2.4429293,-7.408573,5.407869,,,,
1300,6:13:04,-0.23942748,1.3431882,10.755082,2.3866372,-7.3943343,6.6946745,,116,6:14:46,4.139999914
1301,6:13:04,0.89067024,2.2889266,11.049579,3.469874,-6.5040236,7.2282057,,,,
1302,6:13:04,0.6847626,0.75180227,10.178062,3.5986512,-8.04103,6.427971,,117,6:14:47,4.571999931
1303,6:13:04,0.6249057,1.6185298,8.528407,3.435608,-7.1774435,4.7204165,,,,
1304,6:13:05,0.038308397,0.9505271,9.318518,2.9796426,-7.8423815,5.683223,,118,6:14:48,7.128000069
1305,6:13:05,-0.86193895,1.1492519,10.391152,2.3379025,-7.248889,6.4484863,,,,
1306,6:13:05,-0.5818088,0.3998439,11.284217,2.7817616,-7.782225,7.131475,,119,6:14:49,8.459999657
1307,6:13:05,-0.4860378,1.2546,9.826104,3.0786843,-6.9789095,5.8234353,,,,
1308,6:13:05,-0.102953814,1.0870007,9.917087,3.543471,-7.0396414,5.8207264,,120,6:14:50,8.784000206
1309,6:13:05,-0.014365649,0.90024734,10.946625,3.7110772,-7.2829385,7.150069,,,,
1310,6:13:05,-0.098165266,1.7310607,9.510059,3.8010635,-6.3279634,5.686111,,121,6:14:51,8.892000103
1311,6:13:05,-0.12929083,1.6807809,9.577099,4.02803,-6.5137687,5.7579303,,,,
1312,6:13:05,-0.21787901,1.7430321,9.993703,4.1358695,-5.911716,5.491808,,122,6:14:52,8.964000034
1313,6:13:05,-0.12689656,1.5347302,9.744699,4.2186813,-6.136461,6.2627583,,,,
1314,6:13:06,-0.19633053,1.3479767,9.75667,4.4406166,-6.5811324,6.199009,,123,6:14:53,5.507999897
1315,6:13:06,-0.047885496,1.8771114,9.220352,4.6867075,-5.9430776,5.338109,,,,
1316,6:13:06,-0.23942748,1.759792,9.972155,4.5827146,-5.975124,6.2488437,,124,6:14:54,7.415999794
1317,6:13:06,-0.17957062,1.5083932,10.072714,4.7323394,-6.282526,6.3750906,,,,
1318,6:13:06,-0.38547826,1.6089526,9.737515,4.553035,-5.942378,5.965069,,125,6:14:55,10.58400021
1319,6:13:06,-0.5147691,1.0343267,10.206794,4.465969,-6.383722,6.2774754,,,,
1320,6:13:06,-0.41181526,1.3048798,10.190034,4.7384686,-6.075093,6.3288417,,126,6:14:56,12.38400021
1321,6:13:06,-0.28013015,1.1923488,10.142148,4.9045606,-6.1781335,6.444065,,,,
